,pump_speed_1.k,pump_speed_2.k,pump_speed_3.k,pump_speed_4.k,val_pos_1.k,val_pos_2.k,val_pos_3.k,val_pos_4.k,ret_p.k,chw_sup_PSP.k
20,0.5760000000000001,0.5760000000000001,0.5760000000000001,0.5760000000000001,1.0,1.0,1.0,1.0,347453.3333,465633.3333
21,0.6434992665999999,0.0,0.0,0.0,1.0,0.001,0.001,0.001,461603.6667,487033.3333
22,0.5515051334000001,0.0,0.0,0.5483662,1.0,0.001,0.001,1.0,397628.0,469133.3333
23,0.0,0.606,0.606,0.606,0.001,1.0,1.0,1.0,331365.6667,425700.0
24,0.0,0.0,0.52,0.0,0.001,0.001,1.0,0.001,462645.6667,536633.3333
25,0.0,0.552451,0.552451,0.552451,0.001,1.0,1.0,1.0,326302.3333,416466.6667
26,0.5794266666,0.0,0.5794266666,0.5794266666,1.0,0.001,1.0,1.0,328762.0,428933.3333
27,0.6328144,0.0,0.0,0.6328586,1.0,0.001,0.001,1.0,322539.0,382966.6667
28,0.6082186666,0.6082368,0.6082958,0.608342,1.0,1.0,1.0,1.0,319935.6667,479800.0
29,0.5405409999999999,0.5405409999999999,0.0,0.5405409999999999,1.0,1.0,0.001,1.0,354889.0,442366.6667
30,0.5124424666,0.5124413334,0.0,0.5124528,1.0,1.0,0.001,1.0,312962.0,414100.0
31,0.5544697333999999,0.0,0.5544697333999999,0.5544697333999999,1.0,0.001,1.0,1.0,317534.6667,422300.0
32,0.6098490000000001,0.6098524,0.6098320666,0.0,1.0,1.0,1.0,0.001,328531.0,428533.3333
33,0.5400965334,0.5401354,0.5401311334,0.5401462,1.0,1.0,1.0,1.0,351272.3333,459800.0
34,0.5340066,0.5340066,0.5340066,0.5340066,1.0,1.0,1.0,1.0,330498.6667,452733.3333
35,0.5600002,0.5600002,0.5600002,0.0,1.0,1.0,1.0,0.001,350114.6667,464266.6667
36,0.6156204666,0.6156204666,0.0,0.6156204666,1.0,1.0,0.001,1.0,326070.6667,435366.6667
37,0.0,0.6326397334,0.6326397334,0.6326397334,0.001,1.0,1.0,1.0,324305.3333,433666.6667
38,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,377604.6667,459300.0
39,0.5522852666,0.0,0.5522852666,0.5522852666,1.0,0.001,1.0,1.0,369299.3333,451666.6667
40,0.5474582666,0.0,0.0,0.5474582666,1.0,0.001,0.001,1.0,378125.0,447500.0
41,0.5411709334,0.0,0.5408995999999999,0.5409051334,1.0,0.001,1.0,1.0,351011.3333,459233.3333
42,0.5470986666000001,0.0,0.0,0.5470838666,1.0,0.001,0.001,1.0,378124.6667,448433.3333
43,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,433014.3333,460633.3333
44,0.0,0.6175381999999999,0.6175381999999999,0.6175381999999999,0.001,1.0,1.0,1.0,356829.0,476500.0
45,0.5941263334,0.5941263334,0.0,0.5941263334,1.0,1.0,0.001,1.0,323813.6667,413666.6667
46,0.5446843334,0.5446843334,0.0,0.0,1.0,1.0,0.001,0.001,388772.6667,449733.3333
47,0.577344,0.577344,0.0,0.0,1.0,1.0,0.001,0.001,443580.0,503000.0
48,0.5765278,0.5765278,0.5765278,0.5765278,1.0,1.0,1.0,1.0,320052.3333,440066.6667
49,0.5745504,0.5741629334,0.5741869333999999,0.5748605334,1.0,1.0,1.0,1.0,348639.3333,468066.6667
50,0.0,0.0,0.5200244,0.0,0.001,0.001,1.0,0.001,502748.3333,540100.0
51,0.5427217334000001,0.5427217334000001,0.5427217334000001,0.0,1.0,1.0,1.0,0.001,369183.0,447733.3333
52,0.5575253334,0.0,0.0,0.5575253334,1.0,0.001,0.001,1.0,463368.3333,513366.6667
53,0.0,0.0,0.5398717333999999,0.5398717333999999,0.001,0.001,1.0,1.0,389556.3333,449600.0
