,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
1422,52380,1596674670,415633.3333,315681.6667,31.46915333,0.0,31.46915333,31.46915333,947.2499867,1.0,0.001,1.0,1.0
331,13080,1594316670,424700.0,334721.6667,27.2,0.0,27.2,27.2,780.4950533,1.0,0.001,1.0,1.0
354,13800,1594359870,444800.0,348697.0,27.5,0.0,27.5,27.5,771.7286267,1.0,0.001,1.0,1.0
381,14670,1594412070,481633.3333,384113.3333,0.0,0.0,25.0,0.0,212.9370133,0.001,0.001,1.0,0.001
910,33330,1595531670,407033.3333,347482.3333,31.17698333,0.0,0.0,31.17686,666.04356,1.0,0.001,0.001,1.0
1068,39150,1595879070,460500.0,370543.6667,28.86411667,28.86411667,28.86411667,0.0,839.3248267,1.0,1.0,1.0,0.001
108,3600,1593747870,420666.6667,324971.0,29.89513667,0.0,29.89513667,29.89513667,896.6383067,1.0,0.001,1.0,1.0
834,30810,1595380470,411166.6667,321180.0,0.0,29.49749667,29.49736333,29.49683667,872.9423733,0.001,1.0,1.0,1.0
1505,55290,1596847470,471833.3333,411660.6667,0.0,31.90385667,0.0,31.90385667,685.63796,0.001,1.0,0.001,1.0
951,34590,1595607270,541733.3333,516551.6667,29.17042,0.0,0.0,0.0,329.5596267,1.0,0.001,0.001,0.001
2341,88920,1598867070,456300.0,346498.0,27.06985,27.0696,27.06953333,27.06953333,960.3888933,1.0,1.0,1.0,1.0
1532,56130,1596899670,417633.3333,357522.0,0.0,0.0,27.49760333,27.49760333,593.5500667,0.001,0.001,1.0,1.0
1221,44790,1596219270,468700.0,405469.0,28.60576667,0.0,28.61304,0.0,609.44772,1.0,0.001,1.0,0.001
1970,73440,1597936470,464266.6667,350114.6667,28.00001,28.00001,28.00001,0.0,750.88636,1.0,1.0,1.0,0.001
2290,86940,1598748270,513533.3333,416521.6667,25.0,0.0,0.0,0.0,225.79312,1.0,0.001,0.001,0.001
1393,51300,1596609870,458200.0,368259.0,29.77947,29.77947,0.0,29.77947,889.9982,1.0,1.0,0.001,1.0
1746,64380,1597394670,440233.3333,321759.6667,27.18069333,27.18069333,27.18069333,27.18069333,938.3635333,1.0,1.0,1.0,1.0
1274,46680,1596332670,441466.6667,362472.0,0.0,0.0,25.0,0.0,232.01864,0.001,0.001,1.0,0.001
1593,58710,1597054470,476366.6667,316289.3333,29.56129,29.56590333,29.56668667,29.56633667,942.1513733,1.0,1.0,1.0,1.0
2120,80670,1598372070,451666.6667,369299.3333,27.61426333,0.0,27.61426333,27.61426333,823.5601733,1.0,0.001,1.0,1.0
943,34350,1595592870,507733.3333,482986.3333,29.79393333,0.0,0.0,0.0,337.7143467,1.0,0.001,0.001,0.001
515,18960,1594669470,549466.6667,511863.3333,0.0,0.0,0.0,27.00212333,301.1375733,0.001,0.001,0.001,1.0
221,9600,1594107870,443766.6667,341608.6667,28.0,0.0,28.0,28.0,791.3832267,1.0,0.001,1.0,1.0
1282,46920,1596347070,469433.3333,389931.3333,0.0,0.0,25.0,0.0,246.6789733,0.001,0.001,1.0,0.001
816,30180,1595342670,515133.3333,415104.0,0.0,30.3,30.3,30.3,892.6564267,0.001,1.0,1.0,1.0
1230,45090,1596237270,426566.6667,331800.0,29.48834333,29.47213667,29.34780667,0.0,880.68876,1.0,1.0,1.0,0.001
1438,52890,1596705270,441833.3333,321759.0,28.62119,28.62119,28.62119,28.62119,1022.476093,1.0,1.0,1.0,1.0
1376,50610,1596568470,472333.3333,411834.0,28.23674,28.23674,0.0,0.0,591.7832667,1.0,1.0,0.001,0.001
694,25950,1595088870,396200.0,359837.6667,0.0,0.0,26.00084,0.0,286.31736,0.001,0.001,1.0,0.001
480,17790,1594599270,409633.3333,309693.3333,30.23118667,0.0,30.23073667,30.23021,889.5447867,1.0,0.001,1.0,1.0
1671,61650,1597230870,440833.3333,331338.6667,0.0,31.57835333,31.57835333,31.57835333,918.9725067,0.001,1.0,1.0,1.0
329,13020,1594313070,422233.3333,332724.6667,27.2,0.0,27.2,27.2,784.27216,1.0,0.001,1.0,1.0
1666,61500,1597221870,440433.3333,349911.6667,0.0,28.59909,28.59909,28.59909,825.3962267,0.001,1.0,1.0,1.0
1825,67710,1597592670,419466.6667,371846.0,0.0,0.0,0.0,29.57577667,326.8089067,0.001,0.001,0.001,1.0
