,Fcw_ypred,Fcw_yobse,ts
258,3634.577202276652,3583.3956666666663,1594463370.0
259,3676.129681196201,3637.333,1594466970.0
260,3633.3087657937517,3567.223166666667,1594470570.0
261,3714.3802500090655,3651.4145,1594474170.0
262,3660.026576501385,3602.2291666666665,1594477770.0
263,3599.3135329774827,3542.3581666666664,1594481370.0
264,3484.5934022573942,3422.0035,1594484970.0
265,2951.9824458101325,2946.1093333333333,1594488570.0
266,2863.87908061262,2847.6375,1594492170.0
267,2828.1796534971945,2804.4148333333337,1594495770.0
268,2977.5040160699123,2961.1081666666664,1594499370.0
269,2928.7654148693664,2930.898333333333,1594502970.0
270,2551.1073324339686,2501.8025,1594506570.0
271,2303.652229266433,2324.17,1594510170.0
272,2297.917527633156,2315.276166666667,1594513770.0
273,2028.3625877987065,1957.4743333333333,1594517370.0
274,1034.0352074309683,917.2683333333333,1594520970.0
275,1034.084343705014,1096.4035,1594524570.0
276,1034.1914543122766,1080.8578333333332,1594528170.0
277,1834.503880850308,1857.8196666666668,1594531770.0
278,2431.8675069233636,2453.5460000000003,1594535370.0
279,2332.708103638218,2342.675333333333,1594538970.0
280,2297.545929451707,2316.339333333333,1594542570.0
281,2255.495935093685,2279.2823333333336,1594546170.0
282,2256.7621951333635,2268.8105,1594549770.0
283,2259.513724675077,2276.5456666666664,1594553370.0
284,2257.5400079791752,2271.9591666666665,1594556970.0
285,2259.578396245217,2264.1169999999997,1594560570.0
286,2259.3494380251236,2278.0061666666666,1594564170.0
287,2260.582891762076,2283.0765,1594567770.0
288,2257.51808538179,2268.1169999999997,1594571370.0
289,2250.8951707348915,2269.014666666667,1594574970.0
290,2249.0314556782364,2263.011,1594578570.0
291,2253.90246664798,2260.5389999999998,1594582170.0
292,2257.9784599268833,2282.4700000000003,1594585770.0
293,2259.6242921982207,2260.545,1594589370.0
294,2257.6586148522083,2269.7558333333336,1594592970.0
295,2259.856379687838,2275.9945000000002,1594596570.0
296,2260.069170015396,2278.0658333333336,1594600170.0
297,1966.0696694266435,2017.8696666666667,1594603770.0
298,1117.9367419543275,857.9208333333333,1594607370.0
299,1116.4514111467909,1152.4991666666667,1594610970.0
300,1067.791821867277,1092.5805,1594614570.0
301,1746.1658284320092,1708.256,1594618170.0
302,2474.424955628807,2456.1710000000003,1594621770.0
303,2322.25967029041,2329.2988333333333,1594625370.0
304,2216.633945097963,2225.1615,1594628970.0
305,2208.0726113267738,2223.5158333333334,1594632570.0
306,1366.1797705984345,1453.9776666666667,1594636170.0
307,1089.1607410059364,1110.9895,1594639770.0
308,1083.4389661030777,1099.0531666666668,1594643370.0
309,1170.6498135154202,1202.0325,1594646970.0
310,1116.3709665269703,1137.0473333333332,1594650570.0
311,1192.5571370650155,1199.3278333333333,1594654170.0
312,1266.118594270402,1289.6313333333335,1594657770.0
