,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
9480,1625633070,426736.3333,331020.3333,26.92021333,26.92026667,0,26.92026667,751.0391111,1,1,0.001,1
9510,1625638470,385098.3333,265076.6667,25.97923,25.97924667,25,25.97924667,838.0339352,1,1,1,1
9540,1625640270,380295,260763.6667,25.78667667,25.78667667,25,25.78667667,832.0507407,1,1,1,1
9570,1625642070,371701.6667,252748,25.74355,25.74355,25,25.74355,823.8342037,1,1,1,1
9600,1625643870,357928.6667,239468.6667,25.56217,25.56175667,25,25.56175667,809.8252315,1,1,1,1
9630,1625645670,362441,245169,25.74984333,25.75014333,25,25.74975,830.9399259,1,1,1,1
9660,1625647470,373929.6667,257840.3333,25.421,25.421,25,25.421,815.4607778,1,1,1,1
9720,1625649270,365626,248959,25.49449667,25.49435667,25,25.49435667,826.3691111,1,1,1,1
9750,1625652870,372280.3333,271153.3333,25.88395667,25.88395667,25.88400333,0,675.7185463,1,1,1,0.001
9780,1625654670,366668,273062,25.00173,25.00173,25.00173,0,657.5207222,1,1,1,0.001
9810,1625656470,362038,269589.3333,25.00425333,25.00425333,25.00425333,0,661.1318148,1,1,1,0.001
9840,1625658270,360128,269156,25.07713667,25.07713667,25.07713667,0,672.1838889,1,1,1,0.001
9870,1625660070,349159.3333,256974.3333,25.05921667,25.05921667,25.05921667,0,665.6473148,1,1,1,0.001
9900,1625661870,338020.3333,245024,25.14485667,25.14485667,25.14485667,0,670.68075,1,1,1,0.001
9930,1625663670,329111,236285.3333,25.17173667,25.17173667,25.17173667,0,668.8372037,1,1,1,0.001
9960,1625665470,355411.3333,262182.3333,25.08626,25.08626,25.08626,0,663.6923241,1,1,1,0.001
9990,1625667270,359027.6667,265133.3333,25.07179333,25.07179333,25.07179333,0,664.9730741,1,1,1,0.001
10020,1625669070,340220.6667,244821.3333,25.00127667,25.00127667,25.00127667,0,657.0540185,1,1,1,0.001
10050,1625670870,334231.6667,239266.3333,25.00307667,25.00307667,25.00307667,0,651.3596482,1,1,1,0.001
10080,1625672670,331888.6667,238514.6667,25.04142,25.04142,25.04142,0,664.7618148,1,1,1,0.001
10110,1625674470,334577.6667,240452.6667,25.13557667,25.13557667,25.13557667,0,664.7067315,1,1,1,0.001
10170,1625676270,361286.6667,267102.3333,25.04032333,25.04032333,25.04032333,0,661.7919908,1,1,1,0.001
10230,1625679870,371179.6667,311111,27.91603333,27.91603333,0,0,581.4532963,1,1,0.001,0.001
10410,1625683470,352548.6667,317647.6667,25.00142,0,0,0,271.7641963,1,0.001,0.001,0.001
10680,1625694270,448780,437500,25.0008,0,0,0,272.4657778,1,0.001,0.001,0.001
10710,1625710470,365655,278154.3333,0,25,25,25,674.1573889,0.001,1,1,1
10740,1625712270,365944,277518,0,25.15102667,25.15116667,25.15116667,684.052,0.001,1,1,1
10770,1625714070,349941.3333,253587.3333,0,26.21447,26.21447,26.21447,687.8651667,0.001,1,1,1
10800,1625715870,356249,249363.3333,0,28.24321,28.24321,28.24321,767.816787,0.001,1,1,1
10830,1625717670,340856.3333,243258.6667,0,27.30802667,27.30802667,27.30802667,753.2581685,0.001,1,1,1
10860,1625719470,359028,264264,0,26.47840667,26.47840667,26.47840667,721.2064537,0.001,1,1,1
10890,1625721270,351647.6667,257782.6667,0,26.24998667,26.24998667,26.24998667,721.8096389,0.001,1,1,1
10920,1625723070,332379,242390.3333,0,25.74614,25.74614,25.74614,697.3747408,0.001,1,1,1
10950,1625724870,331859.6667,236950.6667,0,26.43644,26.43644,26.43644,717.1361389,0.001,1,1,1
10980,1625726670,347772.3333,255237.3333,0,26.32650333,26.32650333,26.32650333,718.0029352,0.001,1,1,1
11010,1625728470,338339,245805.3333,0,26.69818,26.69818,26.69818,740.7209259,0.001,1,1,1
11040,1625730270,361285,271269,0,25.23954,25.23954,25.23954,683.5167037,0.001,1,1,1
11070,1625732070,357986,267420,0,25.05944,25.05944,25.05944,672.8516667,0.001,1,1,1
11100,1625733870,342477,248958.6667,0,25.00207667,25.00207667,25.00207667,663.7082685,0.001,1,1,1
11160,1625735670,338484.6667,243867.6667,0,25.00086667,25.00086667,25.00086667,657.6696204,0.001,1,1,1
11190,1625739270,374797,314988.6667,0,0,25.81671667,25.81671667,530.4092407,0.001,0.001,1,1
11220,1625741070,347338,287616,0,0,25.37142667,25.37142667,525.2962407,0.001,0.001,1,1
11250,1625742870,321731,260879.3333,0,0,25.00530667,25.00530667,515.6766667,0.001,0.001,1,1
11280,1625744670,304600.3333,241811.6667,0,0,25.00397333,25.00397333,508.4670648,0.001,0.001,1,1
11310,1625746470,314323.6667,248119.6667,0,0,25.00158,25.00158,500.9851389,0.001,0.001,1,1
11340,1625748270,323119.6667,246353.6667,0,0,25.00004,25.00004,487.7185833,0.001,0.001,1,1
11400,1625750070,340856.3333,259085.6667,0,0,25,25,478.2983148,0.001,0.001,1,1
11430,1625753670,397743.3333,368981.3333,0,0,0,29.06021667,327.0486667,0.001,0.001,0.001,1
11460,1625755470,431510.6667,402286,0,0,0,30.30405667,346.0781296,0.001,0.001,0.001,1
11490,1625757270,457437.3333,431771,0,0,0,28.20659333,325.1050092,0.001,0.001,0.001,1
11520,1625759070,477372.3333,452546,0,0,0,28.35082333,321.8445926,0.001,0.001,0.001,1
11550,1625760870,485244.3333,461256.3333,0,0,0,28.19072667,324.4707222,0.001,0.001,0.001,1
11580,1625762670,489583.6667,466407,0,0,0,27.82846,320.6801111,0.001,0.001,0.001,1
11610,1625764470,491696.3333,468692,0,0,0,27.86781667,320.4311852,0.001,0.001,0.001,1
11640,1625766270,491580.6667,468577.3333,0,0,0,28.10962,320.6544815,0.001,0.001,0.001,1
11670,1625768070,448032.6667,410533.3333,0,0,0,25.30894,282.2992908,0.001,0.001,0.001,1
11730,1625769870,368693,322945.6667,0,0,0,25.00055,270.6357046,0.001,0.001,0.001,1
12000,1625787870,438050.6667,383477.6667,29.57041333,0,0,29.57041333,638.5161204,1,0.001,0.001,1
12030,1625789670,318692.6667,257726.3333,29.82416667,0,0,29.82483667,641.8055,1,0.001,0.001,1
12090,1625791470,316349.3333,255527,27.79262,0,0,27.79245667,593.9168518,1,0.001,0.001,1
12120,1625795070,362818.6667,304803.6667,0,0,27.36133,27.36133,582.4375556,0.001,0.001,1,1
12150,1625796870,368922.3333,312066.6667,0,0,27.18837,27.18837,576.5099537,0.001,0.001,1,1
12180,1625798670,397338,342158.6667,0,0,26.91344667,26.91344667,575.1057407,0.001,0.001,1,1
12210,1625800470,408594.3333,355728.6667,0,0,26.70785333,26.70785333,573.0257037,0.001,0.001,1,1
12240,1625802270,412905,360215,0,0,27.47433,27.47433,591.4170926,0.001,0.001,1,1
12270,1625804070,408653,357349.3333,0,0,27.4297,27.4297,597.8955278,0.001,0.001,1,1
12300,1625805870,417504.6667,366494,0,0,27.42361667,27.42361667,597.9654907,0.001,0.001,1,1
12330,1625807670,414929.6667,365394.3333,0,0,26.95601667,26.95601667,587.0677593,0.001,0.001,1,1
12360,1625809470,413916.6667,366523,0,0,26.47195333,26.47195333,578.6270185,0.001,0.001,1,1
12390,1625811270,420400,374537,0,0,26.16322333,26.16322333,571.8701296,0.001,0.001,1,1
12420,1625813070,426418.3333,381393.6667,0,0,26.03019,26.03019,569.4603981,0.001,0.001,1,1
12450,1625814870,427979.6667,383593.3333,0,0,25.70049667,25.70049667,564.4236945,0.001,0.001,1,1
12480,1625816670,422483,378443.3333,0,0,25.63783667,25.63783667,554.7562315,0.001,0.001,1,1
12510,1625818470,392332.3333,348207,0,0,25.35571667,25.35571667,548.9222963,0.001,0.001,1,1
12540,1625820270,369531.3333,325145.3333,0,0,25.14256667,25.14256667,544.9109537,0.001,0.001,1,1
12570,1625822070,353327.3333,309143,0,0,25.01161,25.01161,540.5874259,0.001,0.001,1,1
12600,1625823870,336198,291898.6667,0,0,25.01183667,25.01183667,539.6281667,0.001,0.001,1,1
12630,1625825670,295341.3333,247975.3333,0,0,25.00223667,25.00223667,535.1577778,0.001,0.001,1,1
12660,1625827470,290220.3333,241436.6667,0,0,25.00162667,25.00162667,532.4378796,0.001,0.001,1,1
12690,1625829270,283970,231568,0,0,25.00111333,25.00111333,527.8548519,0.001,0.001,1,1
12720,1625831070,310242.6667,257205,0,0,25.00022333,25.00022333,527.9018519,0.001,0.001,1,1
12750,1625832870,323177.6667,272367.3333,0,0,25.00139667,25.00139667,531.4579074,0.001,0.001,1,1
12780,1625834670,337038.6667,287644.6667,0,0,25.00194,25.00194,537.1904074,0.001,0.001,1,1
